


 
Portland State,29,12,17,.414,6,6,5,9,2209,2180
Prairie View,30,12,18,.400,8,4,4,13,2031,2059
Presbyterian,31,5,26,.161,5,9,0,15,1958,2155
Princeton,26,18,8,.692,9,3,7,4,1976,1784
Providence,29,21,8,.724,15,0,6,6,2286,2033
Purdue,29,24,5,.828,13,2,7,3,2129,1805
Purdue-Fort Wayne,31,17,14,.548,9,6,7,7,2296,2153
Queens (NC),31,17,14,.548,8,5,7,9,2437,2341
Quinnipiac,29,19,10,.655,9,4,8,5,2106,1988
Radford,31,18,13,.581,10,3,7,10,2152,2001
Rhode Island,28,8,20,.286,7,8,0,10,1857,1972
Rice,29,17,12,.586,11,5,6,7,2241,2170
Richmond,29,14,15,.483,12,3,1,10,2018,1992
Rider,27,15,12,.556,8,4,7,6,1892,1817
Robert Morris,31,15,16,.484,10,4,5,9,2150,2066
Rutgers,29,18,11,.621,14,4,4,6,1986,1731
Sacramento State,30,13,17,.433,9,4,4,10,1974,2025
Sacred Heart,31,15,16,.484,8,6,7,10,2205,2225
Saint Francis (PA),29,12,17,.414,9,5,3,12,2130,2147
Saint Joseph's,29,13,16,.448,9,6,4,7,2092,2119
Saint Louis,29,19,10,.655,14,3,4,6,2201,2064
Saint Mary's (CA),31,25,6,.806,16,2,6,2,2228,1838
Saint Peter's,27,11,16,.407,7,5,4,11,1656,1755
Sam Houston State,28,22,6,.786,11,1,9,5,2066,1642
Samford,31,21,10,.677,13,3,8,7,2437,2205
San Diego,30,11,19,.367,8,9,3,8,2317,2403
San Diego State,28,23,5,.821,14,1,8,1,2061,1816
San Francisco,31,18,13,.581,11,5,5,6,2345,2262
San Jose State,29,17,12,.586,11,3,4,8,1972,1951
Santa Clara,31,23,8,.742,14,4,6,3,2395,2262
Seattle,29,19,10,.655,11,2,7,6,2088,1976
Seton Hall,29,16,13,.552,10,5,5,6,1973,1884
Siena,29,17,12,.586,8,4,7,7,1992,1940
South Alabama,31,16,15,.516,10,4,4,10,2196,2023
South Carolina,29,10,19,.345,6,8,4,7,1869,2128
South Carolina State,28,5,23,.179,4,4,1,19,2077,2355
South Carolina Upstate,29,15,14,.517,11,2,4,12,1997,2016
South Dakota,30,12,18,.400,8,6,2,11,2081,2212
South Dakota State,30,18,12,.600,10,2,6,9,2128,2089
South Florida,29,13,16,.448,8,9,4,6,2124,2105
Southeast Missouri State,31,15,16,.484,9,4,5,11,2389,2371
Southeastern Louisiana,30,17,13,.567,10,4,6,8,2325,2286
Southern,28,13,15,.464,8,1,4,12,2046,2025
Southern California,29,21,8,.724,14,1,5,5,2108,1923
Southern Illinois,31,22,9,.710,13,2,8,6,2062,1910
